NumOfEventsInJourney,NumSessions,interactionTime,maxPrice,minPrice,NumCart,NumView,InsessionCart,InsessionView,weekday,timeOfDay,Purchase
1,1,0.0,914.0,914.0,0,1,0,1,5,1,0
1,1,0.0,916.37,916.37,0,1,0,1,4,2,0
1,1,0.0,795.89,795.89,0,1,0,1,1,3,0
1,1,0.0,100.13,100.13,0,1,0,1,7,4,0
1,1,0.0,84.92,84.92,0,1,0,2,6,2,0
1,1,0.0,565.29,565.29,0,1,0,1,6,5,0
1,1,0.0,46.31,46.31,0,1,0,1,5,6,0
1,1,0.0,507.07,507.07,0,1,0,1,2,5,0
1,1,0.0,4.61,4.61,0,1,0,1,6,1,0
1,1,0.0,128.68,128.68,0,1,0,2,6,2,0
1,1,0.0,233.98,233.98,0,1,0,2,5,5,0
1,1,0.0,257.11,257.11,0,1,0,2,4,3,0
1,1,0.0,6.33,6.33,0,1,0,1,6,6,0
1,1,0.0,54.47,54.47,0,1,0,1,3,4,0
1,1,0.0,1286.75,1286.75,0,1,0,1,3,2,0
1,1,0.0,538.5,538.5,0,1,0,1,6,4,0
1,1,0.0,24.45,24.45,0,1,0,2,6,4,0
1,1,0.0,267.7,267.7,0,1,0,1,7,5,0
1,1,0.0,242.1,242.1,0,1,0,1,5,6,0
1,1,0.0,37.58,37.58,0,1,0,1,2,5,0
1,1,0.0,334.37,334.37,0,1,0,1,3,5,0
1,1,0.0,69.11,69.11,0,1,0,1,6,5,0
1,1,0.0,100.36,100.36,0,1,0,2,6,1,0
1,1,0.0,331.54,331.54,0,1,0,1,2,7,0
1,1,0.0,138.89,138.89,0,1,0,1,2,5,0
1,1,0.0,823.68,823.68,0,1,0,1,2,2,0
1,1,0.0,185.31,185.31,0,1,0,1,2,3,0
1,1,0.0,90.07,90.07,0,1,0,2,4,5,0
1,1,0.0,174.78,174.78,0,1,0,1,6,3,0
1,1,0.0,149.61,149.61,0,1,0,1,4,6,0
1,1,0.0,298.59,298.59,0,1,0,1,5,6,0
1,1,0.0,591.78,591.78,0,1,0,1,3,1,0
1,1,0.0,177.61,177.61,0,1,0,1,6,7,0
1,1,0.0,43.5,43.5,0,1,0,1,6,1,0
1,1,0.0,2007.52,2007.52,0,1,0,1,6,6,0
1,1,0.0,437.33,437.33,0,1,0,1,7,6,0
1,1,0.0,308.86,308.86,0,1,0,1,5,2,0
1,1,0.0,23.16,23.16,0,1,0,1,3,5,0
1,1,0.0,56.35,56.35,0,1,0,1,1,5,0
1,1,0.0,167.06,167.06,0,1,0,1,2,3,0
1,1,0.0,30.63,30.63,0,1,0,2,2,6,0
1,1,0.0,82.63,82.63,0,1,0,1,4,5,0
1,1,0.0,11.13,11.13,0,1,0,1,2,1,0
2,2,1031226.0,8.98,8.98,0,1,0,1,5,3,1
1,1,0.0,108.73,108.73,0,1,0,1,6,6,0
1,1,0.0,33.44,33.44,0,1,0,1,7,5,0
1,1,0.0,566.04,566.04,0,1,0,1,3,1,0
1,1,0.0,257.41,257.41,0,1,0,1,7,4,0
1,1,0.0,48.36,48.36,0,1,0,1,6,4,0
1,1,0.0,195.04,195.04,0,1,0,1,3,6,0
1,1,0.0,53.8,53.8,0,1,0,1,3,2,0
1,1,0.0,55.34,55.34,0,1,0,1,7,1,0
1,1,0.0,89.58,89.58,0,1,0,1,1,3,0
1,1,0.0,44.79,44.79,0,1,0,2,5,3,0
1,1,0.0,47.36,47.36,0,1,0,2,5,1,0
1,1,0.0,35.75,35.75,0,1,0,1,5,4,0
1,1,0.0,390.66,390.66,0,1,0,2,5,5,0
1,1,0.0,243.49,243.49,0,1,0,1,6,4,0
1,1,0.0,177.1,177.1,0,1,0,2,5,1,0
1,1,0.0,231.41,231.41,0,1,0,1,2,6,0
1,1,0.0,99.1,99.1,0,1,0,1,6,1,0
1,1,0.0,358.31,358.31,0,1,0,1,5,4,0
1,1,0.0,56.22,56.22,0,1,0,2,2,3,0
1,1,0.0,1364.0,1364.0,0,1,0,1,5,1,0
1,1,0.0,79.02,79.02,0,1,0,2,6,3,0
1,1,0.0,185.59,185.59,0,1,0,1,1,3,0
1,1,0.0,1592.81,1592.81,0,1,0,1,1,6,0
1,1,0.0,599.5,599.5,0,1,0,2,5,4,0
1,1,0.0,218.8,218.8,0,1,0,1,5,1,0
1,1,0.0,38.35,38.35,0,1,0,1,6,6,0
1,1,0.0,78.77,78.77,0,1,0,1,3,6,0
1,1,0.0,2572.23,2572.23,0,1,0,1,4,1,0
1,1,0.0,128.45,128.45,0,1,0,1,1,5,0
1,1,0.0,403.87,403.87,0,1,0,1,5,6,0
1,1,0.0,347.44,347.44,0,1,0,1,5,5,0
1,1,0.0,401.3,401.3,0,1,0,1,4,4,0
1,1,0.0,148.27,148.27,0,1,0,1,7,1,0
1,1,0.0,257.38,257.38,0,1,0,1,5,4,0
1,1,0.0,225.49,225.49,0,1,0,2,3,3,0
1,1,0.0,42.99,42.99,0,1,0,2,7,5,0
2,1,66.0,102.78,102.78,0,2,0,2,7,3,0
1,1,0.0,37.32,37.32,0,1,0,1,1,5,0
1,1,0.0,3.86,3.86,0,1,0,1,1,5,0
1,1,0.0,378.39,378.39,0,1,0,1,1,2,0
1,1,0.0,256.89,256.89,0,1,0,1,6,3,0
1,1,0.0,65.29,65.29,0,1,0,1,1,6,0
1,1,0.0,205.9,205.9,0,1,0,1,3,5,0
